"HM_GL_IN_OVERSIGHT_REPORTS_ID","HM_SITE_ID","HM_STUDY_ID","REPORT_SOURCE","REPORT_ID","REPORT_TYPE","REPORT_START_DATE","REPORT_END_DATE"
2707994,181587,20726,"SH","1245","On Site Visit - Ongoing",2014-02-05 00:00:00,2014-02-05 00:00:00
2707995,181597,20726,"SH","9424","On Site Visit - Ongoing",2014-11-03 00:00:00,2014-11-03 00:00:00
2702049,181602,20726,"PSQRV","10798","PSQRV",2011-12-14 00:00:00,2011-12-14 00:00:00
2702050,181603,20726,"PSQRV","10801","PSQRV",2011-11-15 00:00:00,2011-11-15 00:00:00
2702054,181611,20726,"PSQRV","10799","PSQRV",2012-01-09 00:00:00,2012-01-09 00:00:00
2707996,181620,20726,"SH","625","On Site Visit - Ongoing",2014-01-15 00:00:00,2014-01-15 00:00:00
2702056,181626,20726,"PSQRV","10804","PSQRV",2012-03-29 00:00:00,2012-03-29 00:00:00
2702057,181626,20726,"PSQRV","10803","PSQRV",2011-09-28 00:00:00,2011-09-28 00:00:00
2702058,181626,20726,"PSQRV","10802","PSQRV",2011-03-31 00:00:00,2011-03-31 00:00:00
2707997,181626,20726,"SH","1047","On Site Visit - Ongoing",2014-01-28 00:00:00,2014-01-28 00:00:00
2702059,181627,20726,"PSQRV","10808","PSQRV",2013-03-27 00:00:00,2013-03-27 00:00:00
2702060,181627,20726,"PSQRV","10807","PSQRV",2012-09-25 00:00:00,2012-09-25 00:00:00
2702061,181627,20726,"PSQRV","10806","PSQRV",2012-08-14 00:00:00,2012-08-14 00:00:00
2702062,181627,20726,"PSQRV","10805","PSQRV",2011-10-27 00:00:00,2011-10-27 00:00:00
2707998,181627,20726,"SH","6921","On Site Visit - Ongoing",2014-08-19 00:00:00,2014-08-20 00:00:00
2708686,222519,20726,"SH","9969","On Site Visit - Ongoing",2014-11-04 00:00:00,2014-11-04 00:00:00
2713431,241312,25504,"SH","12914","On Site Visit - Ongoing",2015-02-03 00:00:00,2015-02-03 00:00:00
2713432,241314,25504,"SH","19335","On Site Visit - Ongoing",2015-06-02 00:00:00,2015-06-02 00:00:00
2713481,241276,25504,"SH","12441","On Site Visit - Ongoing",2015-01-16 00:00:00,2015-01-16 00:00:00
2713492,241451,25504,"SH","22655","On Site Visit - Ongoing",2015-08-04 00:00:00,2015-08-05 00:00:00
2713493,241461,25504,"SH","13638","On Site Visit - Ongoing",2015-02-10 00:00:00,2015-02-10 00:00:00
2713543,241691,25504,"SH","22197","On Site Visit - Ongoing",2015-07-29 00:00:00,2015-07-29 00:00:00
2713562,242087,25504,"SH","18389","On Site Visit - Ongoing",2015-05-19 00:00:00,2015-05-19 00:00:00
2713563,242089,25504,"SH","13009","On Site Visit - Ongoing",2015-01-27 00:00:00,2015-01-27 00:00:00
2713564,242089,25504,"SH","15758","On Site Visit - Ongoing",2015-03-18 00:00:00,2015-03-18 00:00:00
2713565,242091,25504,"SH","20621","On Site Visit - Ongoing",2015-06-24 00:00:00,2015-06-24 00:00:00
